417	1
Myrmica.gallienii	L
Myrmica.incompleta	L
Myrmica.lobicornis	L
Myrmica.punctiventris	N
Myrmica.rubra	L
Myrmica.ruginodis	L
Myrmica.rugulosa	L
Myrmica.sabuleti	L
Myrmica.scabrinodis	L
Myrmica.schencki	L
Myrmica.specioides	L
Myrmicaria.brunnea	L
Myrmicaria.natalensis.eumenoides	N
Myrmicocrypta.ednaella	N
Myrmoteras.barbouri	N
Myrmoteras.iriodum	N
Myrmoteras.jaitrongi	N
Myrmoteras.toro	N
Neivamyrmex.nigrescens	N
Neivamyrmex.opacithorax	N
Neivamyrmex.texanus	N
Neoponera.apicalis	L
Neoponera.commutata	N
Neoponera.obscuricornis	N
Neoponera.verenae	L
Neoponera.villosa	L
Nesomyrmex.echinatinodis	L
Nesomyrmex.spininodis	L
Nomamyrmex.esenbeckii	N
Nothomyrmecia.macrops	N
Novomessor.cockerelli	L
Nylanderia.fulva	L
Ochetellus.glaber	L
Ocymyrmex.foreli	L
Odontomachus.affinis	L
Odontomachus.bauri	N
Odontomachus.brunneus	L
Odontomachus.chelifer	N
Odontomachus.clarus	N
Odontomachus.haematodus	L
Odontomachus.hastatus	L
Odontomachus.laticeps	N
Odontomachus.opaciventris	L
Odontomachus.troglodytes	L
Oecophylla.longinoda	L
Oecophylla.smaragdina	L
Onychomyrmex.hedleyi	N
Ooceraea.biroi	N
Ophthalmopone.berthoudi	N
Orectognathus.versicolor	N
Pachycondyla.harpax	L
Pachycondyla.striata	L
Paraponera.clavata	L
Paratrechina.longicornis	L
Pheidole.bicornis	N
Pheidole.dentata	L
Pheidole.fallax	L
Pheidole.megacephala	L
Pheidole.morrisii	L
Pheidole.pallidula	L
Pheidole.spadonia	L
Pheidole.specularis	L
Plagiolepis.pygmaea	L
Platythyrea.lamellosa	N
Platythyrea.modesta	L
Platythyrea.parallela	N
Platythyrea.punctata	N
Platythyrea.quadridenta	N
Platythyrea.schultzei	N
Platythyrea.tricuspidata	N
Pogonomyrmex.badius	N
Pogonomyrmex.barbatus	N
Pogonomyrmex.californicus	N
Pogonomyrmex.imberbiculus	N
Pogonomyrmex.maricopa	N
Pogonomyrmex.montanus	N
Pogonomyrmex.occidentalis	N
Pogonomyrmex.rugosus	N
Pogonomyrmex.subnitidus	N
Pogonomyrmex.texanus	N
Polyrhachis.arachne	L
Polyrhachis.dives	L
Polyrhachis.hodgsoni	L
Polyrhachis.laboriosa	L
Polyrhachis.loweryi	L
Polyrhachis.moesta	L
Ponera.coarctata	N
Ponera.exotica	N
Ponera.pennsylvanica	N
Ponera.testacea	N
Prenolepis.imparis	L
Prenolepis.nitens	L
Prionopelta.amabilis	N
Prionopelta.opaca	N
Pristomyrmex.punctatus	L
Proatta.butteli	N
Probolomyrmex.boliviensis	N
Probolomyrmex.dammermani	N
Probolomyrmex.longinodus	N
Proceratium.croceum	N
Proceratium.goliath	N
Proceratium.itoi	N
Proceratium.pergandei	N
Proceratium.silaceum	N
Proformica.epinotalis	L
Protanilla.lini	N
Pseudomyrmex.concolor	L
Pseudomyrmex.ejectus	L
Pseudomyrmex.elongatus	L
Pseudomyrmex.ferrugineus	L
Pseudomyrmex.gracilis	L
Pseudomyrmex.oculatus	L
Pseudomyrmex.pallidus	L
Pseudomyrmex.penetrator	L
Pseudomyrmex.peperi	L
Pseudomyrmex.satanicus	L
Pseudomyrmex.spinicola	L
Pseudomyrmex.tenuis	L
Pseudomyrmex.termitarius	L
Rhytidoponera.chalybaea	L
Rhytidoponera.mayri	L
Rhytidoponera.metallica	L
Solenopsis.fugax	L
Solenopsis.geminata	L
Solenopsis.invicta	L
Solenopsis.picta	N
Stenamma.brevicorne	N
Stenamma.debile	L
Stenamma.diecki	N
Stenamma.impar	N
Stigmatomma.reclinatum	N
Streblognathus.aethiopicus	N
Strumigenys.emarginata	L
Strumigenys.hexamera	N
Strumigenys.lewisi	L
Strumigenys.louisianae	N
Strumigenys.lujae	N
Strumigenys.membranifera	N
Strumigenys.rogeri	N
Strumigenys.rostrata	N
Strumigenys.serrula	N
Strumigenys.solifontis	L
Tapinoma.erraticum	L
Tapinoma.madeirense	L
Tapinoma.melanocephalum	L
Tapinoma.minutum	L
Tapinoma.nigerrimum	L
Tapinoma.sessile	L
Tapinoma.subboreale	L
Tatuidris.tatusia	N
Technomyrmex.albipes	L
Temnothorax.albipennis	L
Temnothorax.ambiguus	L
Temnothorax.andrei	N
Temnothorax.crassispinus	L
Temnothorax.curvispinosus	L
Temnothorax.interruptus	L
Temnothorax.longispinosus	L
Temnothorax.nigriceps	L
Temnothorax.nylanderi	L
Temnothorax.parvulus	L
Temnothorax.rugatulus	L
Temnothorax.tuberum	L
Temnothorax.unifasciatus	L
Tetramorium.alpestre	L
Tetramorium.bicarinatum	L
Tetramorium.caespitum	L
Tetramorium.impurum	L
Tetramorium.semilaeve	L
Tetramorium.simillimum	L
Tetramorium.tsushimae	L
Tetraponera.rufonigra	L
Thaumatomyrmex.atrox	N
Thaumatomyrmex.contumax	N
Typhlomyrmex.rogenhoferi	N
Wasmannia.auropunctata	L
Xenomyrmex.floridanus	L
