417	1
Myrmica.gallienii	S
Myrmica.incompleta	S
Myrmica.lobicornis	S
Myrmica.punctiventris	S
Myrmica.rubra	S
Myrmica.ruginodis	S
Myrmica.rugulosa	S
Myrmica.sabuleti	S
Myrmica.scabrinodis	S
Myrmica.schencki	S
Myrmica.specioides	S
Myrmicaria.brunnea	S
Myrmicaria.natalensis.eumenoides	S
Myrmicocrypta.ednaella	S
Myrmoteras.barbouri	N
Myrmoteras.iriodum	N
Myrmoteras.jaitrongi	N
Myrmoteras.toro	N
Neivamyrmex.nigrescens	S
Neivamyrmex.opacithorax	S
Neivamyrmex.texanus	S
Neoponera.apicalis	S
Neoponera.commutata	S
Neoponera.obscuricornis	S
Neoponera.verenae	S
Neoponera.villosa	S
Nesomyrmex.echinatinodis	S
Nesomyrmex.spininodis	S
Nomamyrmex.esenbeckii	S
Nothomyrmecia.macrops	S
Novomessor.cockerelli	N
Nylanderia.fulva	N
Ochetellus.glaber	N
Ocymyrmex.foreli	N
Odontomachus.affinis	S
Odontomachus.bauri	S
Odontomachus.brunneus	S
Odontomachus.chelifer	S
Odontomachus.clarus	S
Odontomachus.haematodus	S
Odontomachus.hastatus	S
Odontomachus.laticeps	S
Odontomachus.opaciventris	S
Odontomachus.troglodytes	S
Oecophylla.longinoda	N
Oecophylla.smaragdina	N
Onychomyrmex.hedleyi	S
Ooceraea.biroi	S
Ophthalmopone.berthoudi	S
Orectognathus.versicolor	S
Pachycondyla.harpax	S
Pachycondyla.striata	S
Paraponera.clavata	S
Paratrechina.longicornis	N
Pheidole.bicornis	N
Pheidole.dentata	N
Pheidole.fallax	N
Pheidole.megacephala	N
Pheidole.morrisii	N
Pheidole.pallidula	N
Pheidole.spadonia	N
Pheidole.specularis	N
Plagiolepis.pygmaea	N
Platythyrea.lamellosa	S
Platythyrea.modesta	S
Platythyrea.parallela	S
Platythyrea.punctata	S
Platythyrea.quadridenta	S
Platythyrea.schultzei	S
Platythyrea.tricuspidata	S
Pogonomyrmex.badius	S
Pogonomyrmex.barbatus	S
Pogonomyrmex.californicus	S
Pogonomyrmex.imberbiculus	S
Pogonomyrmex.maricopa	S
Pogonomyrmex.montanus	S
Pogonomyrmex.occidentalis	S
Pogonomyrmex.rugosus	S
Pogonomyrmex.subnitidus	S
Pogonomyrmex.texanus	S
Polyrhachis.arachne	N
Polyrhachis.dives	N
Polyrhachis.hodgsoni	N
Polyrhachis.laboriosa	N
Polyrhachis.loweryi	N
Polyrhachis.moesta	N
Ponera.coarctata	S
Ponera.exotica	S
Ponera.pennsylvanica	S
Ponera.testacea	S
Prenolepis.imparis	N
Prenolepis.nitens	N
Prionopelta.amabilis	S
Prionopelta.opaca	S
Pristomyrmex.punctatus	S
Proatta.butteli	S
Probolomyrmex.boliviensis	S
Probolomyrmex.dammermani	S
Probolomyrmex.longinodus	S
Proceratium.croceum	S
