417	1
Myrmica.gallienii	M
Myrmica.incompleta	S
Myrmica.lobicornis	M
Myrmica.punctiventris	S
Myrmica.rubra	L
Myrmica.ruginodis	M
Myrmica.rugulosa	M
Myrmica.sabuleti	M
Myrmica.scabrinodis	M
Myrmica.schencki	M
Myrmica.specioides	M
Myrmicaria.brunnea	L
Myrmicaria.natalensis.eumenoides	L
Myrmicocrypta.ednaella	S
Myrmoteras.barbouri	S
Myrmoteras.iriodum	S
Myrmoteras.jaitrongi	S
Myrmoteras.toro	S
Neivamyrmex.nigrescens	L
Neivamyrmex.opacithorax	L
Neivamyrmex.texanus	L
Neoponera.apicalis	S
Neoponera.commutata	M
Neoponera.obscuricornis	S
Neoponera.verenae	M
Neoponera.villosa	M
Nesomyrmex.echinatinodis	S
Nesomyrmex.spininodis	S
Nomamyrmex.esenbeckii	L
Nothomyrmecia.macrops	S
Novomessor.cockerelli	M
Nylanderia.fulva	L
Ochetellus.glaber	L
Ocymyrmex.foreli	M
Odontomachus.affinis	M
Odontomachus.bauri	M
Odontomachus.brunneus	S
Odontomachus.chelifer	S
Odontomachus.clarus	S
Odontomachus.haematodus	M
Odontomachus.hastatus	M
Odontomachus.laticeps	S
Odontomachus.opaciventris	S
Odontomachus.troglodytes	S
Oecophylla.longinoda	L
Oecophylla.smaragdina	L
Onychomyrmex.hedleyi	M
Ooceraea.biroi	S
Ophthalmopone.berthoudi	M
Orectognathus.versicolor	S
Pachycondyla.harpax	S
Pachycondyla.striata	M
Paraponera.clavata	M
Paratrechina.longicornis	M
Pheidole.bicornis	M
Pheidole.dentata	M
Pheidole.fallax	L
Pheidole.megacephala	L
Pheidole.morrisii	M
Pheidole.pallidula	L
Pheidole.spadonia	M
Pheidole.specularis	S
Plagiolepis.pygmaea	L
Platythyrea.lamellosa	S
Platythyrea.modesta	S
Platythyrea.parallela	S
Platythyrea.punctata	S
Platythyrea.quadridenta	S
Platythyrea.schultzei	S
Platythyrea.tricuspidata	S
Pogonomyrmex.badius	M
Pogonomyrmex.barbatus	L
Pogonomyrmex.californicus	M
Pogonomyrmex.imberbiculus	S
Pogonomyrmex.maricopa	L
Pogonomyrmex.montanus	M
Pogonomyrmex.occidentalis	M
Pogonomyrmex.rugosus	L
Pogonomyrmex.subnitidus	L
Pogonomyrmex.texanus	L
Polyrhachis.arachne	M
Polyrhachis.dives	L
Polyrhachis.hodgsoni	L
Polyrhachis.laboriosa	M
Polyrhachis.loweryi	S
Polyrhachis.moesta	M
Ponera.coarctata	S
Ponera.exotica	S
Ponera.pennsylvanica	S
Ponera.testacea	S
Prenolepis.imparis	M
Prenolepis.nitens	L
Prionopelta.amabilis	M
Prionopelta.opaca	S
Pristomyrmex.punctatus	L
Proatta.butteli	L
Probolomyrmex.boliviensis	S
Probolomyrmex.dammermani	S
Probolomyrmex.longinodus	S
Proceratium.croceum	S
Proceratium.goliath	S
Proceratium.itoi	S
Proceratium.pergandei	S
Proceratium.silaceum	S
Proformica.epinotalis	M
Protanilla.lini	S
Pseudomyrmex.concolor	M
Pseudomyrmex.ejectus	S
Pseudomyrmex.elongatus	S
Pseudomyrmex.ferrugineus	M
Pseudomyrmex.gracilis	S
Pseudomyrmex.oculatus	S
Pseudomyrmex.pallidus	S
Pseudomyrmex.penetrator	L
Pseudomyrmex.peperi	L
Pseudomyrmex.satanicus	L
Pseudomyrmex.spinicola	L
Pseudomyrmex.tenuis	M
Pseudomyrmex.termitarius	S
Rhytidoponera.chalybaea	S
Rhytidoponera.mayri	M
