326 1
Myrmecina.nipponica T
Myrmecocystus.depilis {N:0,T:1}
Myrmecocystus.mendax {N:0,T:1}
Myrmecocystus.mexicanus T
Myrmecocystus.mimicus T
Myrmica.curvithorax {N:0,T:1}
Myrmica.gallienii {N:0,T:1}
Myrmica.incompleta T
Myrmica.lobicornis {N:0.03,T:0.97}
Myrmica.punctiventris {N:0,T:1}
Myrmica.rubra T
Myrmica.ruginodis T
Myrmica.rugulosa {N:0,T:1}
Myrmica.sabuleti T
Myrmica.scabrinodis T
Myrmica.schencki N
Myrmica.specioides {N:0.01,T:0.99}
Myrmicaria.brunnea {N:0,T:1}
Myrmicaria.natalensis.eumenoides T
Myrmicocrypta.ednaella {N:0.84,T:0.16}
Myrmoteras.barbouri T
Myrmoteras.iriodum T
Myrmoteras.jaitrongi T
Myrmoteras.toro T
Nesomyrmex.echinatinodis T
Nesomyrmex.spininodis T
Nothomyrmecia.macrops N
Novomessor.cockerelli {N:0.87,T:0.13}
Nylanderia.fulva T
Ochetellus.glaber T
Ocymyrmex.foreli T
Oecophylla.longinoda T
Oecophylla.smaragdina T
Orectognathus.versicolor T
Paratrechina.longicornis T
Pheidole.bicornis T
Pheidole.dentata T
Pheidole.fallax {N:0,T:1}
Pheidole.megacephala T
Pheidole.morrisii T
Pheidole.pallidula {N:0,T:1}
Pheidole.spadonia T
Pheidole.specularis {N:0,T:1}
Plagiolepis.pygmaea T
Pogonomyrmex.badius N
Pogonomyrmex.barbatus T
Pogonomyrmex.californicus {N:0.78,T:0.22}
Pogonomyrmex.imberbiculus {N:0.83,T:0.17}
Pogonomyrmex.maricopa {N:0.48,T:0.52}
Pogonomyrmex.montanus {N:0.81,T:0.19}
Pogonomyrmex.occidentalis {N:0.74,T:0.26}
Pogonomyrmex.rugosus {N:0.47,T:0.53}
Pogonomyrmex.subnitidus {N:0.71,T:0.29}
Pogonomyrmex.texanus {N:0.59,T:0.41}
Polyrhachis.arachne {N:0,T:1}
Polyrhachis.dives T
Polyrhachis.hodgsoni {N:0,T:1}
Polyrhachis.laboriosa T
Polyrhachis.loweryi T
Polyrhachis.moesta {N:0,T:1}
Prenolepis.imparis T
Prenolepis.nitens T
Pristomyrmex.punctatus T
Proatta.butteli T
Proformica.epinotalis T
Pseudomyrmex.concolor {N:0,T:1}
Pseudomyrmex.ejectus {N:0,T:1}
