generation,rank_1,rank_2,swapAccepted
354000,1,4,1
355000,1,4,1
356000,2,3,1
357000,1,3,1
358000,2,4,1
359000,2,4,1
360000,3,4,1
361000,2,3,1
362000,1,2,1
363000,1,2,1
364000,1,3,1
365000,2,3,1
366000,3,4,1
367000,3,4,1
368000,1,2,1
369000,1,3,1
370000,1,3,1
371000,1,2,1
372000,1,2,1
373000,1,2,1
374000,1,3,0
375000,1,2,1
376000,2,4,0
377000,1,4,0
378000,2,4,1
379000,3,4,1
380000,2,3,1
381000,1,2,1
382000,1,4,1
383000,1,2,1
384000,1,3,1
385000,1,2,1
386000,2,4,0
387000,1,4,0
388000,2,4,1
389000,3,4,1
390000,1,2,0
391000,1,3,1
392000,1,2,1
393000,2,3,1
394000,1,4,1
395000,1,2,1
396000,2,4,1
397000,1,2,1
398000,2,3,1
399000,1,2,1
400000,3,4,1
401000,1,2,1
402000,3,4,1
403000,1,4,1
404000,1,3,1
405000,3,4,1
406000,2,4,1
407000,1,3,0
408000,1,3,1
409000,1,3,1
410000,3,4,1
411000,1,3,1
412000,3,4,1
413000,2,3,1
414000,2,4,1
415000,1,4,1
416000,1,2,1
417000,1,3,0
418000,2,3,1
419000,2,4,1
420000,1,3,1
421000,3,4,1
422000,1,2,1
423000,2,3,1
424000,1,4,1
425000,1,2,1
426000,2,3,1
427000,2,4,1
428000,2,4,1
429000,2,3,1
430000,1,2,1
431000,1,3,0
432000,2,3,0
433000,1,3,0
434000,3,4,1
435000,2,4,1
436000,1,3,1
437000,1,2,1
438000,1,4,1
439000,1,3,1
440000,1,2,1
441000,1,2,1
442000,3,4,1
443000,1,4,1
444000,1,4,1
445000,2,4,1
446000,1,3,1
447000,1,4,1
448000,1,4,1
449000,1,3,1
450000,2,3,1
451000,1,3,1
452000,1,4,1
453000,3,4,1
454000,1,3,1
455000,1,2,1
456000,1,4,1
457000,2,4,1
458000,2,3,1
459000,2,3,1
460000,1,3,1
461000,1,4,0
462000,2,3,1
463000,3,4,1
464000,1,4,1
465000,1,4,1
466000,1,4,0
467000,1,2,1
468000,1,2,1
469000,1,2,1
470000,1,3,1
471000,2,3,1
472000,2,4,1
473000,1,4,1
474000,2,3,1
475000,2,4,1
476000,3,4,1
477000,2,3,1
478000,1,4,1
479000,1,3,1
480000,1,4,1
481000,3,4,1
482000,1,3,1
483000,1,4,1
484000,1,4,1
485000,3,4,1
486000,3,4,1
487000,1,2,1
488000,1,3,1
489000,1,2,1
490000,3,4,1
491000,2,3,1
492000,1,4,1
493000,1,2,1
494000,1,2,1
495000,1,2,1
496000,2,4,1
497000,3,4,1
498000,1,4,1
499000,2,4,1
500000,3,4,1
501000,2,4,1
502000,2,3,0
503000,1,3,1
504000,2,3,0
505000,1,4,1
506000,2,3,1
507000,1,4,1
508000,2,3,1
509000,1,3,1
510000,2,3,1
511000,1,3,1
512000,1,2,1
513000,3,4,1
514000,1,3,1
515000,3,4,1
516000,3,4,1
517000,1,2,1
518000,2,4,0
519000,1,2,1
520000,3,4,1
521000,3,4,1
522000,3,4,1
523000,2,3,1
524000,1,3,0
525000,3,4,1
526000,1,2,1
527000,3,4,1
528000,1,3,1
529000,2,4,1
530000,1,4,1
531000,3,4,1
