,feature_block_index,feature_name,delta_acc_mean,delta_acc_std,acc_with_feature_randomized_mean,acc_with_feature_randomized_std
3,3,block_3,0.24895705521472397,0.0306279395957304,0.6896932515337424,0.0306279395957304
2,2,block_2,0.07815950920245399,0.014841554678235051,0.8604907975460122,0.014841554678235051
0,0,block_0,0.021042944785276088,0.009314451398514154,0.9176073619631905,0.009314451398514154
1,1,block_1,0.017791411042944797,0.010643773971102728,0.9208588957055214,0.010643773971102728
5,5,block_5,0.0030674846625767284,0.007336356284111291,0.9355828220858897,0.007336356284111292
4,4,block_4,0.001717791411042978,0.00451493729888937,0.9369325153374233,0.004514937298889371
6,6,block_6,-0.001411042944785247,0.005938891137437931,0.9400613496932517,0.005938891137437931
