"","NodeID","Gam","Sting","Troph","Liq","Small","Medium","Large","sp1","sp2"
"615",614,0.011,0.0012,0.99,0.988,0.029,0.9054,0.0656,"Tapinoma.minutum","Tapinoma.sessile"
"616",615,0,0,1,1,0,1,0,"Tapinoma.minutum",NA
"617",616,0,0,1,1,0,1,0,"Tapinoma.sessile",NA
"618",617,0,0,1,1,0,1,0,"Tapinoma.subboreale",NA
"619",618,0.032,0.0032,0.979,0.9732,0.0236,0.2204,0.756,"Liometopum.apiculatum","Liometopum.occidentale"
"620",619,0,0,1,1,0,0,1,"Liometopum.apiculatum",NA
"621",620,0,0,1,1,0,0,1,"Liometopum.occidentale",NA
"622",621,0,0,1,1,0,0,1,"Technomyrmex.albipes",NA
"623",622,0,1,1,1,1,0,0,"Aneuretus.simoni",NA
"624",623,0.635,0.9902,0.509,0.5612,0.3066,0.3512,0.3422,"Pseudomyrmex.ferrugineus","Nothomyrmecia.macrops"
"625",624,0.266,0.9938,0.803,0.8242,0.3176,0.3662,0.3162,"Pseudomyrmex.ferrugineus","Pseudomyrmex.gracilis"
"626",625,0.154,0.9958,0.87,0.8844,0.2328,0.454,0.3132,"Pseudomyrmex.ferrugineus","Pseudomyrmex.satanicus"
"627",626,0.088,0.9966,0.914,0.9244,0.2292,0.5582,0.2126,"Pseudomyrmex.ferrugineus","Pseudomyrmex.tenuis"
"628",627,0.057,0.9982,0.923,0.9472,0.2402,0.5878,0.172,"Pseudomyrmex.ferrugineus","Pseudomyrmex.termitarius"
"629",628,0.055,0.9982,0.923,0.9486,0.248,0.5846,0.1674,"Pseudomyrmex.ferrugineus","Pseudomyrmex.pallidus"
"630",629,0.033,0.9986,0.967,0.9696,0.2082,0.6064,0.1854,"Pseudomyrmex.ferrugineus","Tetraponera.rufonigra"
"631",630,0.024,0.9986,0.976,0.9752,0.0942,0.6258,0.28,"Pseudomyrmex.ferrugineus","Pseudomyrmex.peperi"
"632",631,0,1,1,1,0,1,0,"Pseudomyrmex.ferrugineus",NA
"633",632,0,1,1,1,0,0,1,"Pseudomyrmex.peperi",NA
"634",633,0.018,0.9992,0.982,0.9836,0.2848,0.6564,0.0588,"Pseudomyrmex.oculatus","Tetraponera.rufonigra"
"635",634,0,1,1,1,1,0,0,"Pseudomyrmex.oculatus",NA
"636",635,0,1,0.991,1,0,1,0,"Tetraponera.rufonigra",NA
"637",636,0,1,0.861,1,1,0,0,"Pseudomyrmex.pallidus",NA
"638",637,0.04,0.9982,0.933,0.9638,0.1568,0.7028,0.1404,"Pseudomyrmex.concolor","Pseudomyrmex.termitarius"
"639",638,0,1,0.919,1,0,1,0,"Pseudomyrmex.concolor",NA
"640",639,0,1,1,1,0,1,0,"Pseudomyrmex.termitarius",NA
"641",640,0,1,1,1,0,1,0,"Pseudomyrmex.tenuis",NA
"642",641,0,1,1,1,0,0,1,"Pseudomyrmex.satanicus",NA
"643",642,0.161,0.9956,0.89,0.8898,0.3896,0.3406,0.2698,"Pseudomyrmex.ejectus","Pseudomyrmex.gracilis"
"644",643,0.159,0.9956,0.891,0.8914,0.3888,0.3422,0.269,"Pseudomyrmex.ejectus","Pseudomyrmex.penetrator"
"645",644,0.097,0.9964,0.916,0.9148,0.379,0.3524,0.2686,"Pseudomyrmex.ejectus","Pseudomyrmex.spinicola"
"646",645,0,1,1,1,1,0,0,"Pseudomyrmex.ejectus",NA
"647",646,0,1,1,1,0,0,1,"Pseudomyrmex.spinicola",NA
"648",647,0.116,0.9962,0.913,0.9098,0.3846,0.3662,0.2492,"Pseudomyrmex.elongatus","Pseudomyrmex.penetrator"
"649",648,0,1,1,1,1,0,0,"Pseudomyrmex.elongatus",NA
"650",649,0,1,1,1,0,0,1,"Pseudomyrmex.penetrator",NA
"651",650,0,1,1,1,1,0,0,"Pseudomyrmex.gracilis",NA
"652",651,0.658,0.9914,0.485,0.2036,0.4406,0.3986,0.1608,"Myrmecia.pyriformis","Nothomyrmecia.macrops"
"653",652,1,1,1,0,0,1,0,"Myrmecia.pyriformis",NA
"654",653,0,1,0,0,1,0,0,"Nothomyrmecia.macrops",NA
"655",654,0.248,0.9928,0.089,0.1088,0.1418,0.3624,0.4958,"Eciton.hamatum","Ooceraea.biroi"
"656",655,0.165,0.9936,0.122,0.0902,0.0868,0.307,0.6062,"Eciton.hamatum","Dorylus.wilverthi"
"657",656,0.133,0.9942,0.264,0.0856,0.078,0.299,0.623,"Eciton.hamatum","Aenictus.laeviceps"
"658",657,0.045,0.9978,0.877,0.0856,0.0194,0.167,0.8136,"Eciton.hamatum","Labidus.praedator"
"659",658,0.026,0.9982,0.954,0.0912,0.0086,0.1168,0.8746,"Eciton.hamatum","Labidus.coecus"
"660",659,0.02,0.9982,0.96,0.0342,0.0054,0.0976,0.897,"Eciton.hamatum","Nomamyrmex.esenbeckii"
"661",660,0.011,0.9998,0.977,0.0084,0.0034,0.0498,0.9468,"Eciton.hamatum","Eciton.vagans"
"662",661,0,1,0.985,0,0,6e-04,0.9994,"Eciton.hamatum","Eciton.mexicanum"
"663",662,0,1,0.985,0,0,6e-04,0.9994,"Eciton.hamatum","Eciton.rapax"
"664",663,0,1,0.985,0,0,0,1,"Eciton.hamatum",NA
"665",664,0,1,0.984,0,0,0,1,"Eciton.rapax",NA
"666",665,0,1,0.985,0,0,0,1,"Eciton.mexicanum",NA
"667",666,0.01,1,0.98,0.0058,0.0016,0.04,0.9584,"Eciton.burchellii","Eciton.vagans"
"668",667,0,1,0.991,0,0,0,1,"Eciton.burchellii",NA
"669",668,0,1,0.984,0,0,0,1,"Eciton.vagans",NA
"670",669,0,1,0.972,0,0,0,1,"Nomamyrmex.esenbeckii",NA
"671",670,0,1,1,1,0,0,1,"Labidus.coecus",NA
"672",671,0.034,0.9982,0.946,0.0962,0.0092,0.1136,0.8772,"Neivamyrmex.nigrescens","Labidus.praedator"
"673",672,0.025,0.9982,0.95,0.065,0.0092,0.106,0.8848,"Neivamyrmex.nigrescens","Neivamyrmex.opacithorax"
"674",673,0,1,0.992,0,0,0,1,"Neivamyrmex.nigrescens","Neivamyrmex.texanus"
"675",674,0,1,0.992,0,0,0,1,"Neivamyrmex.nigrescens",NA
"676",675,0,1,0.992,0,0,0,1,"Neivamyrmex.texanus",NA
"677",676,0,1,0.97,0,0,0,1,"Neivamyrmex.opacithorax",NA
"678",677,0,1,1,1,0,0,1,"Labidus.praedator",NA
"679",678,0,1,0.411,0,0,0,1,"Aenictus.laeviceps",NA
"680",679,0.056,0.9962,0.104,0.0594,0.041,0.253,0.706,"Dorylus.laevigatus","Dorylus.wilverthi"
"681",680,0,1,0,0,0,0,1,"Dorylus.laevigatus",NA
"682",681,0,1,0.298,0,0,0,1,"Dorylus.wilverthi",NA
"683",682,0.209,0.993,0.081,0.1078,0.1572,0.4298,0.413,"Cerapachys.sulcinodis","Ooceraea.biroi"
"684",683,0,1,0,0,0,1,0,"Cerapachys.sulcinodis",NA
"685",684,0,1,0,0,0,1,0,"Ooceraea.biroi",NA
"686",685,0.755,0.9944,0.03,0.0748,0.5708,0.2648,0.1644,"Anochetus.diegensis","Proceratium.pergandei"
"687",686,0.756,0.9944,0.029,0.0702,0.5886,0.2554,0.156,"Anochetus.diegensis","Apomyrma.stygia"
"688",687,0.785,0.9954,0.028,0.0718,0.6186,0.2456,0.1358,"Anochetus.diegensis","Tatuidris.tatusia"
"689",688,0.967,0.9958,0.025,0.067,0.6736,0.2286,0.0978,"Anochetus.diegensis","Platythyrea.tricuspidata"
"690",689,0.969,0.9962,0.029,0.0694,0.6956,0.2316,0.0728,"Anochetus.diegensis","Harpegnathos.saltator"
"691",690,0.969,0.9964,0.031,0.0734,0.6996,0.2306,0.0698,"Anochetus.diegensis","Hypoponera.eduardi"
"692",691,0.962,0.9976,0.035,0.0728,0.6638,0.2824,0.0538,"Anochetus.diegensis","Myopias.julivora"
"693",692,0.966,0.9976,0.038,0.0774,0.6004,0.348,0.0516,"Anochetus.diegensis","Leptogenys.schwabi"
"694",693,0.936,0.9976,0.102,0.1288,0.5332,0.415,0.0518,"Anochetus.diegensis","Brachyponera.chinensis"
"695",694,0.936,0.9976,0.102,0.1682,0.5306,0.4226,0.0468,"Anochetus.diegensis","Streblognathus.aethiopicus"
"696",695,0.156,0.9988,0.26,0.1878,0.4526,0.5096,0.0378,"Anochetus.diegensis","Odontomachus.troglodytes"
"697",696,0.09,0.9992,0.391,0.203,0.3678,0.596,0.0362,"Anochetus.diegensis","Odontomachus.brunneus"
"698",697,0.086,0.9992,0.397,0.2028,0.3626,0.599,0.0384,"Anochetus.diegensis","Odontomachus.opaciventris"
"699",698,0.077,0.9992,0.394,0.1718,0.3452,0.613,0.0418,"Anochetus.diegensis","Odontomachus.chelifer"
"700",699,0.067,0.9992,0.397,0.176,0.3426,0.6136,0.0438,"Anochetus.diegensis","Odontomachus.affinis"
