it	posterior	likelihood	prior	accuracy	test_accuracy	acc_C0	acc_C1	acc_C2	acc_C3	acc_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	acc_prob	mcmc_id
610	-4287.268043852671	-3617.1481976349587	-670.1198462177131	0.20044444444444445	0.196	0.0	1.0	0.0	0.0	0.0	0.0034533201235625367	0.300538848589722	0.0010919179331002748	0.3058340865025532	0.12959232956619354	0.2743585336441657	0.8811881188118812	0
620	-4287.587311630716	-3616.923314778768	-670.6639968519473	0.20044444444444445	0.196	0.0	1.0	0.0	0.0	0.0	0.0024632583404792714	0.30288361711675205	0.004309926075081858	0.31006996800756714	0.13922670119646388	0.2769685472239847	0.8613861386138614	0
630	-4288.23555357684	-3617.26755437673	-670.9679992001106	0.20044444444444445	0.196	0.0	1.0	0.0	0.0	0.0	0.003945240094389674	0.3039121849737793	0.010498195648100958	0.32371142825449656	0.1311871091937986	0.2799176720660156	0.8514851485148515	0
640	-4288.390063290779	-3617.061057948403	-671.3290053423759	0.20044444444444445	0.196	0.0	1.0	0.0	0.0	0.0	0.004707660287064384	0.3054983562793259	0.016646326757989095	0.32338144363053667	0.1350065469799218	0.2840439565992772	0.8316831683168316	0
650	-4288.356390389011	-3617.3855163367725	-670.9708740522385	0.20044444444444445	0.196	0.0	1.0	0.0	0.0	0.0	0.0035754702939395575	0.3036991286774334	0.014176304332064748	0.31940009449705853	0.1383161941909453	0.28579751137496257	0.8316831683168316	0
660	-4288.242774646984	-3617.1954661774716	-671.0473084695126	0.20044444444444445	0.196	0.0	1.0	0.0	0.0	0.0	0.001791073837333758	0.3044107248249592	0.01785700931941068	0.3158180016779495	0.13781630011604917	0.2822845160076965	0.8316831683168316	0
670	-4287.237686598815	-3616.0347705625377	-671.2029160362774	0.20044444444444445	0.196	0.0	1.0	0.0	0.0	0.0	0.0020870385747081234	0.3053830207482146	0.014339487356991192	0.3051946609076048	0.12855622904186906	0.29230816445711855	0.8217821782178217	0
680	-4288.333123833122	-3616.6547798289785	-671.6783440041437	0.20044444444444445	0.196	0.0	1.0	0.0	0.0	0.0	0.0012255521710074699	0.30757270665392417	0.014234023379692358	0.30149611802260157	0.12805996753965063	0.30094303402855715	0.8514851485148515	0
690	-4288.821901211745	-3617.0045388424155	-671.8173623693297	0.20044444444444445	0.196	0.0	1.0	0.0	0.0	0.0	0.0015560561847307794	0.30817244631202545	0.012172951202724304	0.3003024121832786	0.1315602697529013	0.3027740386324463	0.8316831683168316	0
700	-4289.132922667879	-3617.1228159197412	-672.0101067481373	0.20044444444444445	0.196	0.0	1.0	0.0	0.0	0.0	-1.5909363363510175e-05	0.3091187337072983	0.0036861675800289873	0.3037946544082075	0.12974409368361753	0.3015634929840423	0.8316831683168316	0
710	-4289.862344137794	-3617.735211598442	-672.127132539352	0.20044444444444445	0.196	0.0	1.0	0.0	0.0	0.0	-0.0012819671120797294	0.309439721024739	0.007213945804730451	0.30535744741677245	0.12562181717928708	0.3077317227154972	0.8217821782178217	0
720	-4290.097962694925	-3617.934942031649	-672.1630206632759	0.20044444444444445	0.196	0.0	1.0	0.0	0.0	0.0	-0.001925156654902689	0.30934712147115706	-0.00647999803104633	0.31079811591386786	0.1361291502966005	0.30452294595990204	0.8514851485148515	0
730	-4289.345242197367	-3616.6082220984285	-672.737020098938	0.20044444444444445	0.196	0.0	1.0	0.0	0.0	0.0	-0.0005268559290454708	0.31118773556530527	0.009152091448695112	0.3422384812157777	0.13626576291033776	0.29920900439153886	0.8415841584158416	0
740	-4288.716422843868	-3615.5034541442546	-673.2129686996134	0.20044444444444445	0.196	0.0	1.0	0.0	0.0	0.0	-0.00046955273943079104	0.3136347244633229	0.020423680559069606	0.3440922136318112	0.13303831626894852	0.2969360776040911	0.8712871287128713	0
750	-4288.801886582734	-3615.3042811400032	-673.4976054427311	0.20044444444444445	0.196	0.0	1.0	0.0	0.0	0.0	0.0010995401215849036	0.3152324629835841	0.02960003949395018	0.3431511045860691	0.12688056135910697	0.29571556942067284	0.8613861386138614	0
760	-4288.798242741888	-3615.1740538833956	-673.6241888584926	0.20044444444444445	0.196	0.0	1.0	0.0	0.0	0.0	0.0016634290594458978	0.3155197595226343	0.01986186333057551	0.34819539549137957	0.1279317146421936	0.29868862631232973	0.8613861386138614	0
770	-4289.857071277178	-3616.0565669905855	-673.8005042865921	0.20044444444444445	0.196	0.0	1.0	0.0	0.0	0.0	0.0008356116555006995	0.3160060261464776	0.021530563171613063	0.36151838994477464	0.13354878104388093	0.29164401638103193	0.8811881188118812	0
780	-4288.412240107785	-3614.0943017699246	-674.31793833786	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.0009421615432433055	0.31906350719724763	0.03053319144963971	0.3531125980991565	0.14129418890211248	0.28392091451815465	0.8811881188118812	0
790	-4289.019381301378	-3614.132268551013	-674.8871127503654	0.20977777777777779	0.18	0.03794642857142857	0.0	0.0	1.0	0.0	0.0021037634267246086	0.3213232942426674	0.025034914666252964	0.3561761005444716	0.14264087031638212	0.2926939935075599	0.8910891089108911	0
800	-4290.167090498289	-3614.2180422414185	-675.9490482568713	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.0029885420028015696	0.3257181785038054	0.03158566215604986	0.3676991194795638	0.14315825340407015	0.2971470420734573	0.9207920792079208	0
810	-4290.6241773162965	-3614.088799297683	-676.5353780186133	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.0015256902282668391	0.3277626028791469	0.041840852485447	0.3665504197862539	0.14487198734279078	0.31401668811995176	0.9306930693069307	0
820	-4290.672894404353	-3614.13742044429	-676.5354739600631	0.2048888888888889	0.18	0.013392857142857142	0.0	0.0	1.0	0.0	-2.2598075796999295e-05	0.3271129947608518	0.049687546965709074	0.3713896078187507	0.13864364846902436	0.3254680739330731	0.9207920792079208	0
830	-4291.7732424187525	-3615.157701673387	-676.6155407453653	0.20577777777777778	0.18	0.017857142857142856	0.0	0.0	1.0	0.0	-0.0008142624382085787	0.3278390656899216	0.043349037796141146	0.36951105568465115	0.13785938558403046	0.32089929866784855	0.9306930693069307	0
840	-4291.430331039903	-3614.087484431806	-677.3428466080969	0.3977777777777778	0.388	0.9821428571428571	0.0	0.0	1.0	0.0	-0.00030758616861618763	0.3317174381537602	0.04730757925469148	0.3650919960095424	0.1333578483799171	0.3170675064149342	0.9306930693069307	0
850	-4290.805619762241	-3612.104290706063	-678.7013290561783	0.3537777777777778	0.36	1.0	0.0	0.0	0.7648351648351648	0.0	0.0011540615507165057	0.3372199159968239	0.047812608385166794	0.36609608730184046	0.14189501080857328	0.3309760848728893	0.9504950495049505	0
860	-4291.974430396606	-3612.871805450127	-679.1026249464796	0.3768888888888889	0.364	0.9933035714285714	0.0	0.0	0.8857142857142857	0.0	0.00014593145430337947	0.33899809446768303	0.04386593273208914	0.36570003707477355	0.1327317017035175	0.33724434202830045	0.9405940594059405	0
870	-4291.748287467767	-3613.270206164888	-678.4780813028792	0.23777777777777778	0.216	0.17857142857142858	0.0	0.0	1.0	0.0	-0.0011460558288142147	0.33576028694803567	0.03653946248889804	0.3655971202894878	0.12470557575994366	0.3482779433523169	0.9405940594059405	0
880	-4290.795891270455	-3612.1375159572535	-678.6583753132014	0.2693333333333333	0.264	0.33482142857142855	0.0	0.0022123893805309734	1.0	0.0	-0.0008794693038434043	0.3366301270920381	0.03876548224656201	0.36273544572894734	0.12681784918380712	0.3491665368686142	0.9207920792079208	0
890	-4289.491463531416	-3610.8567356916446	-678.6347278397719	0.39911111111111114	0.384	0.9866071428571429	0.0	0.0022123893805309734	1.0	0.0	-0.0002502075486665981	0.3366518457347471	0.036238508472276255	0.3662023705153473	0.12148045533604554	0.3455737516377901	0.9306930693069307	0
900	-4290.2070239535215	-3611.6251452661745	-678.581878687347	0.1991111111111111	0.208	1.0	0.0	0.0	0.0	0.0	-0.00073240402117251	0.3366601302466591	0.036576769627796775	0.36187220266018416	0.1269006170855388	0.34209542658894104	0.900990099009901	0
910	-4289.775002623773	-3610.8494118865633	-678.9255907372093	0.1991111111111111	0.208	1.0	0.0	0.0	0.0	0.0	-0.00010287593697045627	0.3376585255656422	0.031203953855182553	0.36789502045054684	0.130681524760119	0.348222810429563	0.8910891089108911	0
920	-4289.397884610104	-3610.0087289951343	-679.3891556149695	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.0005974040047822635	0.33960550788101845	0.027057471061531876	0.36885484168122434	0.14365723548114345	0.3465223885106994	0.8811881188118812	0
930	-4291.023631627755	-3611.6651164091227	-679.3585152186326	0.216	0.188	0.0	0.0	0.06858407079646017	1.0	0.0	0.0025516346374516484	0.3398762105690102	0.019593613187080142	0.362259746007942	0.15261894031588202	0.34004845924478866	0.900990099009901	0
940	-4291.277034717922	-3611.6197713972274	-679.6572633206948	0.34355555555555556	0.3	0.0	0.0	0.7035398230088495	1.0	0.0	0.0018520221137634158	0.3408732700538289	0.013354076137861189	0.3658214456404465	0.16121597184312955	0.3412440905857924	0.900990099009901	0
950	-4293.042591108317	-3612.2140743466707	-680.8285167616459	0.2937777777777778	0.248	0.0	0.0	0.4557522123893805	1.0	0.0	0.0014024371817312358	0.3458435698954811	0.015484689377483096	0.3664396244804905	0.16230755402690678	0.34780171978318986	0.8910891089108911	0
960	-4291.49010815233	-3610.201226275076	-681.2888818772544	0.20266666666666666	0.18	0.0	0.0	0.0022123893805309734	1.0	0.0	0.0008146519670306611	0.3475282730572412	0.009400348844396745	0.37470956053820104	0.15369223601639653	0.35285369282795137	0.900990099009901	0
970	-4292.493483025306	-3610.441938011992	-682.051545013314	0.2008888888888889	0.192	0.0	0.0	1.0	0.0	0.0	0.0003011735631871015	0.35079830317219535	0.008815756386306639	0.3802072561418191	0.1492682076210569	0.352898064667772	0.900990099009901	0
980	-4292.810368901515	-3610.12432548955	-682.6860434119651	0.37155555555555553	0.36	0.0	0.0	0.9292035398230089	0.8901098901098901	0.024774774774774775	0.002349110284383611	0.3535349204297397	0.022648677155012394	0.3927171098244461	0.15529033400757586	0.3396276127602193	0.9108910891089109	0
990	-4292.425474530894	-3609.281568150336	-683.1439063805576	0.36044444444444446	0.332	0.0	0.0	0.9889380530973452	0.7846153846153846	0.015765765765765764	0.0015057326122668517	0.3558823285776026	0.02077638128824388	0.3891651989742198	0.15160735144433665	0.3375301619988371	0.8910891089108911	0
1000	-4292.294478916753	-3608.8317305871155	-683.4627483296374	0.37955555555555553	0.368	0.0	0.0	0.9137168141592921	0.9494505494505494	0.02027027027027027	0.0034974677037649367	0.356990352240121	0.027568421203996493	0.38834430980332524	0.14956603047002456	0.34495277367207655	0.9108910891089109	0
1010	-4293.6902238947305	-3610.0235224156027	-683.6667014791276	0.27066666666666667	0.24	0.0	0.0	1.0	0.34505494505494505	0.0	0.002137159109080944	0.35810924155377144	0.034106010154372826	0.38538213171648994	0.14484509623178446	0.3444524112141594	0.9108910891089109	0
1020	-4292.16878763594	-3608.324385605475	-683.844402030465	0.2137777777777778	0.204	0.0	0.0	1.0	0.06373626373626373	0.0	0.003028741787325756	0.35903504951437765	0.041232469147255646	0.3883849619775203	0.14680142667606869	0.3365675080340097	0.9306930693069307	0
1030	-4291.983413725105	-3607.8669361583516	-684.1164775667528	0.20133333333333334	0.192	0.0	0.0	1.0	0.002197802197802198	0.0	0.002568484753068459	0.3601671192355204	0.03678064964721503	0.38326933491997506	0.1534595693766328	0.3401198437292917	0.8811881188118812	0
