species	GamOvSt	sting	eat_sug_liq	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	colonySize	min_temp	max_temp	min_hum	max_hum
Myrmica.sabuleti	1	1	1	-0.923745724618633	0.66973648575934	-0.478411694666663	0.40597706608412	-1.20178868828674	-6.64520019921263	-2.99579040827735	1.65452383984364	-3.44940876008857	-0.76276933524122	-2.41844484841023	1	0.0884615384615385	0.513333333333333	0.149393939393939	0.236818181818182
Myrmica.schencki	1	1	1	-0.92479098957826	0.670730988555883	-0.480009754908627	0.40815418568503	-1.20858418318448	-6.69126089993553	-3.01741632043354	1.66758745193877	-3.47774833103733	-0.769809584730613	-2.44141871747613	1	-0.0192307692307692	0.42	0.06	0.232613636363636
Myrmoteras.barbouri	1	0	0	2.27676934443593	0.46387389076801	0.294494542137965	-0.12986470758811	0.0152416102315395	-0.0345605621406267	0.145551870088947	-0.00521607279580123	-0.0134813412618845	0.00169960973653223	0.00763291922668967	0	0.957692307692308	0.9	0.694242424242424	0.42
Myrmoteras.iriodum	1	0	0	2.27725572274711	0.46400390607449	0.294680021513217	-0.129995864792168	0.0152578384546693	-0.0346056366248967	0.145749538103737	-0.00522381777343957	-0.0135021664027293	0.00170255752817924	0.00764654226583903	0	0.957692307692308	0.893333333333333	0.694242424242424	0.311363636363636
Myrmoteras.toro	1	0	0	2.27212476452742	0.462631938534093	0.292719817328026	-0.128607471676341	0.0150860103006371	-0.0341278820371383	0.143653921233247	-0.00514166269078357	-0.0132812056741648	0.00167125485597715	0.0075018472282231	0	0.8	0.693333333333333	0.610606060606061	0.228977272727273
Neoponera.apicalis	1	1	1	-0.668257479068893	-3.5210687873042	1.68560113119917	-0.146429733145514	0.536961340899507	0.0429356913302963	0.00411925713835397	0.0106222030614958	0.250587830326606	2.52334170186104	-1.4838632979058	0	0.623076923076923	0.933333333333333	0.00484848484848485	0.8275
Nesomyrmex.echinatinodis	1	1	1	-1.52006269392929	1.4621419080591	0.689189493650613	-0.104355756778873	0.246596609769919	0.289443756738662	0.0288846511741216	-2.24967118085479	0.162773101160441	-0.0508296611630343	-0.217305597753555	0	0.638461538461539	0.91	0.242727272727273	0.46625
Nesomyrmex.spininodis	1	1	1	-1.52006269393134	1.46214190806169	0.689189493653347	-0.104355756779544	0.246596609771585	0.289443756741052	0.0288846511743584	-2.24967118087592	0.162773101162044	-0.050829661163593	-0.217305597756007	0	0.819230769230769	0.843333333333333	0.346060606060606	0.339431818181818
Nothomyrmecia.macrops	1	1	0	-0.247631589228821	-0.577834708198453	-2.06573316547713	0.0821788741726507	-0.483051495560383	-0.55293046158361	-0.0637136646124423	0.324353438188235	2.76057411650369	-1.53293635381574	-0.665393238951253	0	0.638461538461539	0.576666666666667	0.0912121212121212	0.0413636363636364
Nylanderia.fulva	1	0	1	2.01887855903074	0.387205114695723	0.0678937486292063	1.2752732025939	0.165731966261907	-0.9745156939912	2.85411196257332	-0.0944852662389513	-0.301190684712803	-0.0453646322154433	-0.10392546000364	2	0.619230769230769	0.89	0.0327272727272727	0.419886363636364
Ocymyrmex.foreli	1	0	1	-1.52461801788665	1.46795312894621	0.69570739135612	-0.106042580097051	0.250838232233471	0.295798926170735	0.029551256835796	-2.3077113745855	0.167188443445995	-0.0524309863956613	-0.224414607313362	1	0.696153846153846	0.743333333333333	0.117575757575758	0.0776136363636364
Odontomachus.affinis	1	1	1	-0.717228681587633	-3.8782517268069	2.22865796756927	-0.286298106689781	1.15405700290563	0.202784979297106	0.0295536216043233	-0.168469720472041	-1.40298149562893	-3.74703132844997	1.73998149060936	1	0.619230769230769	0.723333333333333	0.383333333333333	0.327727272727273
Oecophylla.longinoda	1	0	1	2.22538633778214	0.44831730487784	0.237572624444743	1.04873854746096	0.329165997280952	0.151718092875707	-0.220360285361229	-0.000303423296093576	-0.0041205435010467	0.00109726267868123	0.00526206286401093	2	0.65	0.99	0.139090909090909	0.497386363636364
Oecophylla.smaragdina	1	0	1	2.22538633778214	0.44831730487784	0.237572624444743	1.04873854746096	0.329165997280951	0.151718092875705	-0.220360285361228	-0.000303423296093837	-0.0041205435010458	0.00109726267868225	0.00526206286401213	2	0.5	0.976666666666667	0.203030303030303	0.555681818181818
Ooceraea.biroi	1	1	0	-0.285521334469437	-0.832185186896407	-1.68444500195872	0.705051976867933	-3.56284454697433	1.25861099495213	0.084577682943494	-0.146052543346437	-0.724351245094903	-0.171313240469599	0.00597296358452623	0	0.807692307692308	0.773333333333333	0.401515151515151	0.208522727272727
Ophthalmopone.berthoudi	2	1	0	-0.70017199443202	-3.75698453665277	2.07028540813947	-0.253267369521353	1.01343749987265	0.172279110986059	0.0249159665057852	-0.139443669154666	-1.15100581752511	-2.98666174825632	1.37602682869155	1	0.684615384615385	0.7	0.131818181818182	0.0819318181818182
Orectognathus.versicolor	1	1	0	-1.5250194905649	1.47110673922977	0.722567340451223	-0.13181993921013	0.331883264591519	0.983179957584153	0.408293198267297	1.91033756733418	-0.0506768943906583	-0.0106752868823993	-0.0578099214868923	0	0.6	0.52	0.328787878787879	0.123295454545455
Paratrechina.longicornis	1	0	1	2.01887855902803	0.387205114695033	0.067893748628941	1.27527320258582	0.165731966260795	-0.974515693983233	2.85411196254902	-0.0944852662380707	-0.301190684709886	-0.045364632214952	-0.10392546000248	1	0.380769230769231	0.98	0.0154545454545455	0.618977272727273
Pheidole.bicornis	0	0	0	-1.57767994552138	1.53824073420835	0.79901264394553	-0.1543562344293	0.391509336156307	1.19132643797087	0.496782879910003	2.33641058397756	-0.0619395090101663	-0.0127211548205957	-0.0677556074183373	1	0.803846153846154	0.866666666666667	1.00090909090909	0.468409090909091
Pheidole.dentata	0	0	1	-1.57164627411842	1.53052774077984	0.790042722998373	-0.151588509825498	0.384112723567237	1.16382514253102	0.484848066098443	2.27512096013771	-0.0602501762693653	-0.0123323627314314	-0.0656257692783793	1	0.411538461538462	0.83	0.0666666666666667	0.186363636363636
Pheidole.megacephala	0	0	1	-1.56363336909601	1.52024277291747	0.777821589842453	-0.147727423749282	0.373758734212113	1.12474445088576	0.467830395108013	2.18702528282466	-0.0578127385479837	-0.0117645812183738	-0.06250537827599	2	0.696153846153846	0.916666666666667	0	0.237613636363636
